Aviator	PROPN	1
,	PUNCT	18245
un	DET	9910
film	NOUN	197
sur	ADP	1654
vie	NOUN	147
le	DET	42233
de	ADP	30816
Hughes	PROPN	2
.	PUNCT	14811
étude	NOUN	98
durer	VERB	25
six	NUM	67
an	NOUN	420
mais	CCONJ	810
différer	VERB	8
son	DET	4250
contenu	NOUN	16
donc	ADV	173
selon	ADP	220
Facultés	PROPN	1
faire	VERB	971
comment	ADV	53
dans	ADP	3075
contexte	NOUN	23
structurellement	ADV	1
raciste	ADJ	1
?	PUNCT	320
oasis	NOUN	2
«	PUNCT	931
riche	ADJ	37
»	PUNCT	870
milieu	NOUN	89
où	PRON	376
régner	VERB	16
obscurité	NOUN	2
total	ADJ	32
et	CCONJ	7970
pression	NOUN	23
hydrostatique	ADJ	1
important	ADJ	146
être	AUX	8903
varié	ADJ	19
:	PUNCT	832
chercheur	NOUN	19
découvrir	VERB	87
y	PRON	232
espèce	NOUN	161
nouveau	ADJ	358
bivalve	NOUN	1
poisson	NOUN	29
crustacé	NOUN	3
poulpe	NOUN	1
zone	NOUN	95
penser	VERB	63
jusque	ADP	239
alors	ADV	374
désertique	ADJ	2
travail	NOUN	151
qualité	NOUN	116
très	ADV	479
grand	ADJ	412
exécuter	VERB	24
par	ADP	2429
imprimeur	NOUN	5
artisan	NOUN	10
passionné	ADJ	3
Rajesh	PROPN	1
Bhagwan	PROPN	1
(	PUNCT	2449
secrétaire	NOUN	28
général	ADJ	130
responsable	NOUN	25
organisation	NOUN	85
)	PUNCT	2436
Steve	PROPN	10
Obeegadoo	PROPN	1
projet	NOUN	124
politique	ADJ	162
renouveau	NOUN	3
intellectuel	ADJ	4
formation	NOUN	84
relation	NOUN	67
international	ADJ	159
elle	PRON	947
lutter	VERB	11
pour	ADP	2470
échapper	VERB	28
à	ADP	10398
tueur	NOUN	6
trousses	NOUN	1
compagnie	NOUN	84
connaître	VERB	233
aérien	ADJ	37
coût	NOUN	28
bas	ADJ	30
ne	ADV	1559
pas	ADV	986
crise	NOUN	32
ce	PRON	933
changement	NOUN	42
véritablement	ADV	13
baptiser	VERB	16
futur	ADJ	36
cap	NOUN	11
gouvernement	NOUN	129
français	ADJ	463
avoir	AUX	3243
encore	ADV	205
fois	NOUN	232
objet	NOUN	58
reproche	NOUN	4
sévère	ADJ	8
quant	ADV	41
soutien	NOUN	40
inconditionnel	ADJ	3
Maroc	PROPN	79
dossier	NOUN	21
Sahara	PROPN	45
occidental	ADJ	70
qui	PRON	2111
opposer	VERB	39
ce	DET	2160
dernier	ADJ	210
Front	PROPN	7
Polisario	PROPN	13
depuis	ADP	324
35	NUM	18
outil	NOUN	18
SMIC	PROPN	1
référence	NOUN	47
Abime	PROPN	1
abîme	NOUN	1
Vladimir	PROPN	6
Holan	PROPN	1
maison	NOUN	84
Arrêt	PROPN	1
Avignon	PROPN	6
2001	NUM	56
on	PRON	599
retrouver	VERB	101
ici	ADV	46
touche	NOUN	9
melvillien	ADJ	1
ajouter	VERB	68
lieu	NOUN	195
souligner	VERB	29
thématique	NOUN	1
livre	NOUN	82
y	ADV	285
du	DET	76
sens	NOUN	54
Louis	PROPN	54
coureur	NOUN	17
Bastien	PROPN	2
naître	VERB	380
octobre	NOUN	128
26	NUM	52
1881	NUM	8
Paris	PROPN	215
mourir	VERB	155
août	NOUN	122
13	NUM	64
1963	NUM	30
Châteauroux	PROPN	1
cycliste	ADJ	12
escrimeur	NOUN	2
début	NOUN	143
siècle	NOUN	224
XXe	ADJ	27
dont	PRON	374
spécialité	NOUN	9
cyclisme	NOUN	12
piste	NOUN	32
liste	NOUN	57
que	SCONJ	2066
réélire	VERB	9
il	PRON	4636
en	ADP	5778
2005	NUM	74
2009	NUM	114
bénéficier	VERB	25
également	ADV	316
Hezbollah	PROPN	2
1872	NUM	5
rapporter	VERB	19
quand	SCONJ	87
reprendre	VERB	76
Georgiens	PROPN	1
commande	NOUN	15
Barnett	PROPN	1
point	NOUN	175
sceau	PROPN	1
comprendre	VERB	115
sommet	NOUN	39
culminer	VERB	7
mètre	NOUN	79
2 001	NUM	1
arrivée	NOUN	45
altitude	NOUN	42
étape	NOUN	24
typique	ADJ	16
montagne	NOUN	27
Johnson	PROPN	11
appuyer	VERB	24
se	PRON	2351
forme	NOUN	107
unique	ADJ	44
rhétorique	NOUN	3
rester	VERB	176
réfutation	NOUN	3
immatérialisme	NOUN	1
George	PROPN	19
Berkeley	PROPN	2
célèbre	ADJ	41
affirmer	VERB	46
exister	VERB	79
matière	NOUN	44
sembler	VERB	53
seulement	ADV	73
;	PUNCT	248
poème	NOUN	17
prose	NOUN	1
XIXe	ADJ	34
avec	ADP	1342
recueil	NOUN	15
Gaspard	PROPN	3
nuit	NOUN	46
Aloysius	PROPN	1
Bertrand	PROPN	8
narrer	VERB	1
Ewan	PROPN	1
McGregor	PROPN	1
Pierce	PROPN	1
Brosnan	PROPN	1
histoire	NOUN	132
nègre	NOUN	1
engager	VERB	49
terminer	VERB	70
mémoire	NOUN	32
ministre	NOUN	104
ancien	ADJ	211
premier	ADJ	646
britannique	ADJ	65
révéler	VERB	41
mission	NOUN	62
périlleux	ADJ	2
Marian	PROPN	1
jeune	ADJ	105
contraction	NOUN	2
Mary	PROPN	8
Anne	PROPN	11
caractère	NOUN	36
obstiné	ADJ	3
ombrageux	ADJ	2
partie	NOUN	315
groupe	NOUN	261
musical	ADJ	35
comme	ADP	622
abuelo	NOUN	1
el	DET	7
Nada	PROPN	1
Los	PROPN	24
Rodríguez	PROPN	1
convention	NOUN	24
garantir	VERB	13
signer	VERB	70
entre	ADP	450
UFE	PROPN	1
université	NOUN	118
partenaire	ADJ	2
qualifier	VERB	42
critère	NOUN	16
union	NOUN	57
européen	ADJ	133
Adam	PROPN	12
berceau	NOUN	6
tribu	NOUN	14
Al	PROPN	9
Bu	PROPN	1
Said	PROPN	2
sultan	NOUN	1
issu	ADJ	60
actuel	ADJ	68
Qabus	PROPN	1
ibn	PROPN	5
album	NOUN	131
photo	NOUN	23
police	NOUN	52
exposer	VERB	19
musée	NOUN	37
Russie	PROPN	35
Saint-Pétersbourg	PROPN	3
visage	NOUN	24
Raspoutine	PROPN	3
défoncer	VERB	1
coup	NOUN	59
corps	NOUN	80
quatre	NUM	115
impact	NOUN	14
balle	NOUN	10
traverser	VERB	52
cœur	NOUN	40
cou	NOUN	12
cerveau	NOUN	8
moment	NOUN	88
apparition	NOUN	32
apprécier	VERB	34
plus	ADV	1284
fleur	NOUN	31
que	PRON	490
guetter	VERB	1
photographe	NOUN	10
période	NOUN	93
pic	NOUN	9
floraison	NOUN	3
fêter	VERB	5
mai	NOUN	113
22	NUM	39
série	NOUN	122
placer	VERB	74
orbite	NOUN	8
matin	NOUN	29
Morning	PROPN	1
Orbit	PROPN	1
ou	CCONJ	880
M	PROPN	1
dédier	VERB	28
météorologie	NOUN	3
atmosphère	NOUN	12
océan	NOUN	13
glace	NOUN	26
avoir	VERB	856
élève	NOUN	39
israélien	NOUN	2
Galit	PROPN	1
Chait	PROPN	1
/	PUNCT	120
Sergei	PROPN	1
Sakhnovski	PROPN	1
britannique	NOUN	10
Sinead	PROPN	1
Kerr	PROPN	2
John	PROPN	44
...	PUNCT	169
